origin,AggregateType,staked_length,unstaked_length,staked_coverage,overall_coverage,fully_connected_coverage,possible_peak_connected_coverage,staked_fully_connected_coverage,staked_possible_peak_connected_coverage
HU8uKcH8,Median,1537,487,0.860,0.578,0.268,0.409,0.524,0.801
CZ2xJQHw,Mean,1534,492,0.858,0.579,0.250,0.362,0.489,0.709
CZ2xJQHw,Median,1536,492,0.859,0.580,0.267,0.393,0.523,0.770
FaHhtym1,Mean,1538,490,0.860,0.579,0.228,0.378,0.447,0.739
FaHhtym1,Median,1536,493,0.859,0.578,0.238,0.391,0.465,0.765
81kscpE2,Mean,1535,491,0.859,0.579,0.248,0.399,0.485,0.781
81kscpE2,Median,1535,491,0.859,0.579,0.295,0.402,0.578,0.788
FPDzex8i,Mean,1535,485,0.859,0.577,0.262,0.386,0.513,0.755
FPDzex8i,Median,1537,494,0.860,0.578,0.295,0.413,0.577,0.808
GMag1aGP,Mean,1529,499,0.855,0.580,0.280,0.388,0.549,0.761
GMag1aGP,Median,1533,504,0.858,0.583,0.297,0.400,0.582,0.784
D65WGLNr,Mean,1530,492,0.856,0.578,0.240,0.391,0.470,0.765
D65WGLNr,Median,1534,491,0.858,0.578,0.250,0.405,0.489,0.794
C8H7mCWT,Mean,1531,490,0.857,0.577,0.237,0.352,0.464,0.689
C8H7mCWT,Median,1533,480,0.857,0.576,0.288,0.398,0.565,0.780
AJKjJQXN,Mean,1495,473,0.836,0.562,0.145,0.264,0.284,0.518
AJKjJQXN,Median,1493,476,0.835,0.561,0.148,0.258,0.290,0.504
HuubtTf6,Mean,1538,486,0.861,0.578,0.230,0.379,0.449,0.743
HuubtTf6,Median,1539,491,0.861,0.580,0.237,0.402,0.463,0.787
CmHAicGX,Mean,1498,486,0.838,0.567,0.167,0.296,0.327,0.579
CmHAicGX,Median,1496,483,0.837,0.565,0.183,0.315,0.359,0.617
Fw3khiQm,Mean,1529,475,0.855,0.573,0.223,0.342,0.437,0.669
Fw3khiQm,Median,1529,476,0.855,0.573,0.260,0.374,0.508,0.733
8n9KRHDR,Mean,1537,499,0.860,0.582,0.222,0.367,0.435,0.718
8n9KRHDR,Median,1537,500,0.860,0.584,0.218,0.403,0.427,0.790
BhwrctpZ,Mean,1534,481,0.858,0.576,0.245,0.387,0.481,0.757
BhwrctpZ,Median,1534,484,0.858,0.576,0.282,0.404,0.553,0.791
295iQqmP,Mean,1536,501,0.860,0.582,0.251,0.369,0.491,0.723
295iQqmP,Median,1538,502,0.860,0.580,0.240,0.388,0.470,0.759
CcLocgmB,Mean,1534,489,0.858,0.578,0.262,0.391,0.512,0.766
CcLocgmB,Median,1536,484,0.859,0.577,0.265,0.403,0.519,0.789
KrAfaq2s,Mean,1540,507,0.862,0.585,0.269,0.392,0.527,0.768
KrAfaq2s,Median,1541,513,0.862,0.587,0.275,0.417,0.539,0.817
C17WLnQT,Mean,1535,475,0.859,0.574,0.205,0.365,0.401,0.714
C17WLnQT,Median,1540,477,0.861,0.574,0.219,0.390,0.429,0.763
FxhKTay6,Mean,1493,469,0.835,0.561,0.159,0.287,0.311,0.561
FxhKTay6,Median,1494,460,0.836,0.560,0.161,0.273,0.315,0.535
8SoTWVJt,Mean,1534,492,0.858,0.579,0.197,0.381,0.387,0.747
8SoTWVJt,Median,1537,486,0.860,0.577,0.182,0.400,0.356,0.784
CjtziaSB,Mean,1526,486,0.854,0.575,0.231,0.358,0.453,0.700
CjtziaSB,Median,1534,489,0.858,0.579,0.226,0.360,0.442,0.705
Cb2EjFfZ,Mean,1495,480,0.837,0.564,0.186,0.292,0.365,0.572
Cb2EjFfZ,Median,1498,482,0.838,0.565,0.175,0.291,0.343,0.570
EqxCV4fz,Mean,1528,496,0.855,0.578,0.264,0.389,0.516,0.761
EqxCV4fz,Median,1531,500,0.857,0.581,0.277,0.403,0.543,0.790
3Urw79qk,Mean,1531,481,0.857,0.575,0.246,0.379,0.481,0.742
3Urw79qk,Median,1528,477,0.855,0.576,0.258,0.382,0.506,0.747
JokerEfT,Mean,1533,491,0.858,0.579,0.232,0.376,0.455,0.736
JokerEfT,Median,1534,496,0.858,0.580,0.232,0.384,0.454,0.752
syrs1ewk,Mean,1537,490,0.860,0.579,0.260,0.412,0.508,0.807
syrs1ewk,Median,1538,490,0.860,0.580,0.253,0.415,0.496,0.813
4mopxYfA,Mean,1531,482,0.856,0.575,0.268,0.370,0.526,0.725
4mopxYfA,Median,1536,480,0.859,0.576,0.281,0.395,0.550,0.774
6qwYjs5v,Mean,1532,498,0.857,0.580,0.219,0.363,0.429,0.712
6qwYjs5v,Median,1541,501,0.862,0.583,0.210,0.390,0.412,0.764
6cgsK8ph,Mean,1527,504,0.854,0.580,0.265,0.379,0.518,0.743
6cgsK8ph,Median,1535,503,0.859,0.581,0.273,0.411,0.535,0.805
8o59jbS8,Mean,1531,463,0.857,0.570,0.225,0.381,0.440,0.746
8o59jbS8,Median,1531,470,0.856,0.571,0.285,0.408,0.559,0.799
E9hD3iku,Mean,1534,504,0.858,0.582,0.221,0.381,0.433,0.745
E9hD3iku,Median,1535,501,0.859,0.579,0.216,0.372,0.423,0.728
GQiWnDYr,Mean,1534,483,0.858,0.576,0.256,0.371,0.501,0.727
GQiWnDYr,Median,1535,483,0.859,0.577,0.254,0.402,0.498,0.787
Gdo6FaCt,Mean,1528,493,0.855,0.577,0.243,0.349,0.476,0.684
Gdo6FaCt,Median,1535,496,0.859,0.579,0.268,0.397,0.526,0.777
3voduym7,Mean,1532,478,0.857,0.575,0.230,0.347,0.451,0.680
3voduym7,Median,1535,468,0.859,0.574,0.262,0.401,0.514,0.786
Bx6R7GBN,Mean,1537,496,0.860,0.581,0.226,0.401,0.443,0.785
Bx6R7GBN,Median,1536,499,0.859,0.581,0.230,0.411,0.451,0.805
76qvvT56,Mean,1533,493,0.858,0.579,0.227,0.373,0.444,0.730
76qvvT56,Median,1536,503,0.859,0.580,0.219,0.401,0.428,0.785
7X1kgrfY,Mean,1536,485,0.859,0.578,0.204,0.362,0.400,0.709
7X1kgrfY,Median,1538,487,0.860,0.580,0.174,0.392,0.341,0.768
Hb6N8QrX,Mean,1541,500,0.862,0.583,0.283,0.407,0.554,0.796
Hb6N8QrX,Median,1540,505,0.861,0.584,0.262,0.404,0.512,0.792
CptNqx18,Mean,1533,496,0.858,0.580,0.248,0.382,0.486,0.749
CptNqx18,Median,1536,496,0.859,0.582,0.265,0.405,0.519,0.794
5fxyp8GD,Mean,1536,488,0.859,0.578,0.223,0.383,0.436,0.751
5fxyp8GD,Median,1539,491,0.861,0.575,0.203,0.400,0.397,0.783
7U68Wfpx,Mean,1534,476,0.858,0.574,0.205,0.362,0.402,0.708
7U68Wfpx,Median,1530,466,0.856,0.572,0.233,0.341,0.455,0.667
narPxmKT,Mean,1532,491,0.857,0.578,0.257,0.369,0.503,0.723
narPxmKT,Median,1535,488,0.859,0.578,0.265,0.377,0.519,0.738
4my2b5uj,Mean,1533,494,0.857,0.579,0.249,0.372,0.488,0.729
4my2b5uj,Median,1533,486,0.858,0.576,0.255,0.400,0.499,0.783
AnHf9aW9,Mean,1527,484,0.855,0.575,0.251,0.366,0.491,0.717
AnHf9aW9,Median,1536,481,0.859,0.576,0.275,0.378,0.539,0.741
9YDu59tK,Mean,1537,485,0.860,0.578,0.263,0.401,0.516,0.785
9YDu59tK,Median,1539,490,0.861,0.580,0.286,0.409,0.561,0.800
3DQYd2Xc,Mean,1525,492,0.853,0.576,0.226,0.361,0.442,0.708
3DQYd2Xc,Median,1534,494,0.858,0.579,0.236,0.386,0.463,0.756
G9qsqKnv,Mean,1532,493,0.857,0.579,0.252,0.378,0.493,0.741
G9qsqKnv,Median,1539,512,0.861,0.585,0.274,0.407,0.536,0.796
9PViHDmi,Mean,1497,475,0.838,0.564,0.187,0.306,0.366,0.599
9PViHDmi,Median,1495,483,0.836,0.562,0.190,0.309,0.371,0.605
Hp9NMFfF,Mean,1539,488,0.861,0.579,0.238,0.365,0.467,0.715
Hp9NMFfF,Median,1538,490,0.860,0.579,0.244,0.393,0.478,0.769
DohaxzeU,Mean,1531,489,0.856,0.577,0.241,0.376,0.473,0.735
DohaxzeU,Median,1534,485,0.858,0.577,0.240,0.393,0.470,0.770
ESihGHvv,Mean,1534,493,0.858,0.579,0.229,0.387,0.449,0.757
ESihGHvv,Median,1538,493,0.860,0.580,0.276,0.403,0.540,0.789
BPX9WVx1,Mean,1536,486,0.859,0.578,0.240,0.385,0.470,0.755
BPX9WVx1,Median,1538,482,0.860,0.575,0.240,0.410,0.469,0.802
BuonuQoA,Mean,1535,492,0.859,0.579,0.229,0.386,0.448,0.756
BuonuQoA,Median,1531,496,0.856,0.580,0.258,0.392,0.506,0.768
5kDUMbzx,Mean,1543,488,0.863,0.580,0.231,0.352,0.452,0.690
5kDUMbzx,Median,1542,488,0.862,0.579,0.237,0.389,0.465,0.761
CcHWz3tp,Mean,1528,498,0.855,0.579,0.216,0.351,0.422,0.688
CcHWz3tp,Median,1535,505,0.859,0.581,0.230,0.381,0.450,0.747
9ixkRQFU,Mean,1534,486,0.858,0.577,0.241,0.383,0.473,0.750
9ixkRQFU,Median,1538,482,0.860,0.579,0.231,0.405,0.452,0.794
EQ1RbBVQ,Mean,1525,484,0.853,0.574,0.206,0.341,0.402,0.668
EQ1RbBVQ,Median,1532,487,0.857,0.575,0.171,0.354,0.334,0.694
BvhiaiuB,Mean,1533,494,0.858,0.579,0.259,0.378,0.507,0.741
BvhiaiuB,Median,1534,495,0.858,0.578,0.283,0.397,0.554,0.778
2xKfuXN8,Mean,1536,499,0.860,0.582,0.256,0.372,0.502,0.728
2xKfuXN8,Median,1540,497,0.861,0.581,0.261,0.402,0.511,0.788
FT19eGca,Mean,1535,494,0.859,0.580,0.249,0.370,0.487,0.725
FT19eGca,Median,1535,496,0.859,0.580,0.258,0.377,0.506,0.739
EnizqkyV,Mean,1499,486,0.838,0.567,0.164,0.276,0.321,0.541
EnizqkyV,Median,1498,489,0.838,0.565,0.180,0.294,0.352,0.575
38vjGLaj,Mean,1535,491,0.859,0.579,0.288,0.393,0.563,0.769
38vjGLaj,Median,1538,485,0.860,0.580,0.284,0.400,0.557,0.783
4yR5uFMd,Mean,1538,505,0.860,0.584,0.212,0.357,0.416,0.699
4yR5uFMd,Median,1537,510,0.860,0.584,0.235,0.371,0.460,0.727
Hj2jzpAp,Mean,1533,486,0.858,0.577,0.231,0.367,0.452,0.718
Hj2jzpAp,Median,1536,491,0.859,0.578,0.237,0.392,0.464,0.768
7HMHSdQk,Mean,1533,490,0.858,0.578,0.210,0.385,0.411,0.754
7HMHSdQk,Median,1536,484,0.859,0.577,0.222,0.402,0.435,0.788
9oJWvtDM,Mean,1538,499,0.860,0.582,0.218,0.367,0.428,0.719
9oJWvtDM,Median,1542,504,0.862,0.584,0.236,0.402,0.462,0.786
E3uWZFRY,Mean,1531,492,0.857,0.578,0.232,0.375,0.455,0.734
E3uWZFRY,Median,1532,488,0.857,0.578,0.242,0.371,0.474,0.726
DpBNTa3r,Mean,1536,490,0.859,0.579,0.233,0.361,0.457,0.708
DpBNTa3r,Median,1536,497,0.859,0.578,0.270,0.373,0.529,0.730
Gctz3ako,Mean,1537,478,0.860,0.576,0.241,0.376,0.472,0.735
Gctz3ako,Median,1536,477,0.859,0.576,0.257,0.395,0.503,0.774
79MeHzaM,Mean,1541,484,0.862,0.579,0.278,0.400,0.545,0.783
79MeHzaM,Median,1544,485,0.864,0.581,0.294,0.407,0.575,0.797
F3tdN8So,Mean,1533,480,0.857,0.575,0.225,0.369,0.440,0.723
F3tdN8So,Median,1538,488,0.860,0.579,0.229,0.403,0.449,0.790
EJc4QLsi,Mean,1530,489,0.856,0.577,0.246,0.374,0.482,0.733
EJc4QLsi,Median,1532,482,0.857,0.576,0.251,0.406,0.492,0.795
A2BewLMp,Mean,1488,475,0.833,0.561,0.181,0.304,0.353,0.596
A2BewLMp,Median,1495,484,0.836,0.565,0.186,0.304,0.364,0.596
43t4Ybjy,Mean,1536,489,0.859,0.579,0.264,0.402,0.517,0.787
43t4Ybjy,Median,1536,483,0.859,0.577,0.266,0.412,0.521,0.807
EK26xTH6,Mean,1532,488,0.857,0.577,0.230,0.362,0.449,0.708
EK26xTH6,Median,1531,489,0.857,0.579,0.239,0.395,0.467,0.773
YuRBAsy9,Mean,1525,495,0.853,0.577,0.261,0.371,0.511,0.725
YuRBAsy9,Median,1535,506,0.859,0.583,0.274,0.388,0.537,0.761
6MMvVR2U,Mean,1534,489,0.858,0.578,0.229,0.363,0.449,0.712
6MMvVR2U,Median,1536,491,0.859,0.579,0.258,0.373,0.504,0.730
ATiuGpmy,Mean,1528,487,0.855,0.576,0.244,0.371,0.477,0.727
ATiuGpmy,Median,1536,493,0.859,0.578,0.259,0.401,0.507,0.786
DTF5DM36,Mean,1537,483,0.860,0.577,0.251,0.394,0.492,0.771
DTF5DM36,Median,1537,484,0.860,0.576,0.296,0.403,0.581,0.789
8RsF3KMu,Mean,1496,466,0.837,0.561,0.187,0.271,0.366,0.531
8RsF3KMu,Median,1501,459,0.839,0.559,0.217,0.292,0.426,0.571
574rvsKG,Mean,1537,492,0.860,0.580,0.257,0.388,0.502,0.761
574rvsKG,Median,1538,487,0.860,0.575,0.250,0.400,0.489,0.784
4zsArzr9,Mean,1513,490,0.846,0.572,0.238,0.331,0.467,0.647
4zsArzr9,Median,1525,483,0.853,0.568,0.276,0.365,0.541,0.715
6RZshDYB,Mean,1532,491,0.857,0.578,0.234,0.375,0.458,0.734
6RZshDYB,Median,1533,493,0.857,0.577,0.246,0.408,0.482,0.800
BWR52vbs,Mean,1538,500,0.861,0.582,0.219,0.386,0.428,0.755
BWR52vbs,Median,1535,496,0.859,0.581,0.223,0.400,0.436,0.782
ChkH4bTk,Mean,1529,484,0.856,0.575,0.231,0.373,0.453,0.730
ChkH4bTk,Median,1536,478,0.859,0.576,0.206,0.386,0.404,0.757
AopYZ35Q,Mean,1532,494,0.857,0.579,0.265,0.402,0.520,0.788
AopYZ35Q,Median,1538,494,0.860,0.582,0.282,0.412,0.552,0.806
6aiX7kVp,Mean,1539,492,0.861,0.580,0.241,0.402,0.473,0.788
6aiX7kVp,Median,1538,501,0.860,0.583,0.253,0.412,0.495,0.807
CpuDNi3i,Mean,1536,488,0.859,0.578,0.212,0.356,0.414,0.698
CpuDNi3i,Median,1538,491,0.860,0.580,0.216,0.381,0.423,0.747
2AD1T694,Mean,1544,499,0.864,0.584,0.298,0.416,0.583,0.814
2AD1T694,Median,1545,494,0.864,0.584,0.312,0.418,0.610,0.818
rusx3KV6,Mean,1535,488,0.859,0.578,0.251,0.380,0.492,0.744
rusx3KV6,Median,1534,485,0.858,0.577,0.242,0.386,0.474,0.757
4LSfKc2s,Mean,1531,486,0.856,0.576,0.250,0.359,0.489,0.703
4LSfKc2s,Median,1535,484,0.859,0.573,0.251,0.375,0.491,0.734
F2FjnKxW,Mean,1534,513,0.858,0.585,0.254,0.380,0.497,0.743
F2FjnKxW,Median,1539,517,0.861,0.586,0.262,0.397,0.513,0.777
B6zLgsTo,Mean,1495,454,0.837,0.557,0.166,0.265,0.325,0.520
B6zLgsTo,Median,1494,453,0.836,0.557,0.171,0.267,0.334,0.522
D4NAMzyr,Mean,1541,499,0.862,0.583,0.225,0.384,0.440,0.752
D4NAMzyr,Median,1541,506,0.862,0.586,0.240,0.412,0.469,0.808
J2ofWwss,Mean,1544,483,0.864,0.579,0.265,0.395,0.519,0.774
J2ofWwss,Median,1541,484,0.862,0.578,0.277,0.414,0.543,0.810
HtzxUabN,Mean,1541,504,0.862,0.585,0.237,0.370,0.463,0.724
HtzxUabN,Median,1540,502,0.861,0.584,0.234,0.368,0.458,0.721
2nayumaE,Mean,1521,480,0.851,0.572,0.238,0.373,0.465,0.731
2nayumaE,Median,1527,473,0.854,0.572,0.221,0.395,0.432,0.774
ArGzEq1c,Mean,1534,492,0.858,0.579,0.218,0.357,0.428,0.699
ArGzEq1c,Median,1534,484,0.858,0.576,0.272,0.370,0.533,0.724
6LCpzSkg,Mean,1536,497,0.859,0.581,0.248,0.365,0.486,0.715
6LCpzSkg,Median,1541,493,0.862,0.579,0.253,0.389,0.496,0.761
FJJUDYRP,Mean,1533,500,0.858,0.581,0.261,0.381,0.512,0.746
FJJUDYRP,Median,1535,503,0.859,0.581,0.280,0.390,0.549,0.763
E8oZCudf,Mean,1539,479,0.861,0.577,0.229,0.372,0.448,0.729
E8oZCudf,Median,1540,479,0.862,0.577,0.247,0.384,0.483,0.752
DViARWAW,Mean,1533,487,0.857,0.577,0.265,0.371,0.518,0.727
DViARWAW,Median,1535,485,0.859,0.575,0.267,0.398,0.522,0.779
CTXhU887,Mean,1534,479,0.858,0.575,0.249,0.391,0.488,0.765
CTXhU887,Median,1534,482,0.858,0.576,0.271,0.395,0.530,0.774
rRLKNqoV,Mean,1534,497,0.858,0.580,0.237,0.358,0.465,0.701
rRLKNqoV,Median,1531,495,0.856,0.579,0.255,0.380,0.500,0.744
A5nvA7aU,Mean,1532,487,0.857,0.577,0.235,0.354,0.461,0.694
A5nvA7aU,Median,1537,488,0.860,0.573,0.273,0.402,0.535,0.786
13xkw4jY,Mean,1531,491,0.856,0.578,0.276,0.401,0.540,0.785
13xkw4jY,Median,1532,490,0.857,0.578,0.271,0.416,0.530,0.815
CCaCbU2m,Mean,1536,485,0.859,0.578,0.229,0.379,0.448,0.742
CCaCbU2m,Median,1537,488,0.860,0.578,0.229,0.405,0.447,0.794
ATd7yhK4,Mean,1527,500,0.854,0.579,0.213,0.362,0.418,0.710
ATd7yhK4,Median,1531,495,0.856,0.579,0.237,0.394,0.463,0.772
73ET66kH,Mean,1532,491,0.857,0.578,0.244,0.386,0.477,0.756
73ET66kH,Median,1534,493,0.858,0.579,0.258,0.402,0.504,0.787
DSRVdh9P,Mean,1497,471,0.837,0.562,0.166,0.268,0.324,0.525
DSRVdh9P,Median,1500,474,0.839,0.563,0.182,0.288,0.357,0.563
A2ebRyFq,Mean,1535,484,0.859,0.577,0.240,0.372,0.469,0.729
A2ebRyFq,Median,1536,485,0.859,0.576,0.225,0.393,0.441,0.769
AjfUXpuP,Mean,1533,486,0.858,0.577,0.244,0.372,0.477,0.729
AjfUXpuP,Median,1537,491,0.860,0.577,0.264,0.401,0.517,0.785
6gL3uHvu,Mean,1495,473,0.836,0.562,0.177,0.284,0.346,0.556
6gL3uHvu,Median,1496,473,0.837,0.564,0.177,0.295,0.347,0.578
GtGKD86y,Mean,1533,498,0.858,0.580,0.267,0.375,0.522,0.735
GtGKD86y,Median,1532,492,0.857,0.575,0.251,0.400,0.492,0.784
FSq3EXWd,Mean,1525,483,0.853,0.574,0.248,0.354,0.485,0.693
FSq3EXWd,Median,1532,483,0.857,0.575,0.264,0.375,0.517,0.735
4QPDHzck,Mean,1534,496,0.858,0.580,0.244,0.389,0.478,0.762
4QPDHzck,Median,1534,500,0.858,0.583,0.256,0.394,0.502,0.772
5spfmL3Z,Mean,1532,489,0.857,0.578,0.266,0.383,0.521,0.749
5spfmL3Z,Median,1536,478,0.859,0.573,0.305,0.409,0.597,0.800
3UvHZSXR,Mean,1540,501,0.862,0.583,0.214,0.359,0.418,0.703
3UvHZSXR,Median,1541,508,0.862,0.584,0.242,0.377,0.474,0.738
F5q2LhC4,Mean,1535,489,0.859,0.578,0.242,0.377,0.473,0.739
F5q2LhC4,Median,1537,491,0.860,0.581,0.258,0.401,0.504,0.785
DQCriUSq,Mean,1536,491,0.859,0.579,0.288,0.413,0.565,0.809
DQCriUSq,Median,1537,500,0.860,0.581,0.300,0.417,0.587,0.817
FG5w8e7n,Mean,1531,493,0.856,0.578,0.252,0.373,0.493,0.729
FG5w8e7n,Median,1531,493,0.856,0.578,0.264,0.386,0.518,0.756
2oujYrRm,Mean,1537,476,0.860,0.575,0.274,0.392,0.536,0.767
2oujYrRm,Median,1540,476,0.862,0.574,0.283,0.416,0.554,0.814
GTvgGVZo,Mean,1532,485,0.857,0.577,0.243,0.386,0.475,0.755
GTvgGVZo,Median,1538,484,0.860,0.579,0.254,0.409,0.497,0.801
GUFNuRw9,Mean,1527,491,0.854,0.577,0.254,0.396,0.498,0.774
GUFNuRw9,Median,1532,494,0.857,0.577,0.279,0.407,0.546,0.797
6c8W8mou,Mean,1533,497,0.858,0.580,0.247,0.370,0.484,0.724
6c8W8mou,Median,1536,497,0.859,0.582,0.258,0.376,0.506,0.736
7LMg8n5D,Mean,1537,499,0.860,0.582,0.265,0.386,0.519,0.755
7LMg8n5D,Median,1541,498,0.862,0.582,0.285,0.408,0.558,0.800
Hs7iGFYp,Mean,1534,501,0.858,0.581,0.264,0.391,0.517,0.766
Hs7iGFYp,Median,1534,505,0.858,0.583,0.258,0.406,0.505,0.795
67iXZNZ4,Mean,1536,508,0.860,0.584,0.272,0.397,0.534,0.778
67iXZNZ4,Median,1537,506,0.860,0.584,0.305,0.412,0.597,0.806
GYZdxwPw,Mean,1524,482,0.853,0.573,0.258,0.377,0.505,0.739
GYZdxwPw,Median,1528,477,0.855,0.572,0.268,0.391,0.525,0.766
4K8TQcYH,Mean,1531,486,0.857,0.576,0.246,0.346,0.482,0.678
4K8TQcYH,Median,1538,498,0.860,0.579,0.268,0.384,0.525,0.751
J1M8vfJc,Mean,1540,499,0.861,0.583,0.264,0.388,0.517,0.759
J1M8vfJc,Median,1540,504,0.861,0.584,0.274,0.391,0.537,0.765
Cu4M3yd2,Mean,1534,496,0.858,0.580,0.249,0.381,0.488,0.745
Cu4M3yd2,Median,1538,498,0.860,0.584,0.242,0.403,0.474,0.790
3L7DRu7k,Mean,1531,492,0.856,0.578,0.207,0.368,0.406,0.720
3L7DRu7k,Median,1534,494,0.858,0.577,0.192,0.388,0.377,0.759
4ABRDxRk,Mean,1532,499,0.857,0.580,0.284,0.394,0.557,0.771
4ABRDxRk,Median,1528,497,0.855,0.579,0.282,0.397,0.553,0.778
6ZomMAu9,Mean,1534,485,0.858,0.577,0.274,0.386,0.536,0.755
6ZomMAu9,Median,1535,494,0.859,0.577,0.287,0.390,0.562,0.764
5sQqxRuo,Mean,1527,481,0.854,0.574,0.248,0.362,0.485,0.708
5sQqxRuo,Median,1531,477,0.856,0.575,0.278,0.377,0.544,0.738
D35AyoGV,Mean,1538,488,0.860,0.579,0.241,0.386,0.471,0.755
D35AyoGV,Median,1541,490,0.862,0.578,0.245,0.410,0.479,0.803
9T6SNsBi,Mean,1535,479,0.859,0.575,0.200,0.350,0.392,0.685
9T6SNsBi,Median,1533,474,0.857,0.574,0.187,0.337,0.366,0.659
HrpWeJSY,Mean,1528,497,0.855,0.579,0.185,0.314,0.362,0.615
HrpWeJSY,Median,1534,488,0.858,0.578,0.186,0.315,0.365,0.617
8bYQFFFR,Mean,1534,493,0.858,0.579,0.256,0.392,0.501,0.767
8bYQFFFR,Median,1540,488,0.861,0.581,0.256,0.414,0.501,0.810
DziZfhYj,Mean,1535,488,0.859,0.578,0.238,0.382,0.467,0.748
DziZfhYj,Median,1535,492,0.859,0.579,0.268,0.396,0.525,0.775
8Q7K2irC,Mean,1537,488,0.860,0.579,0.271,0.398,0.531,0.780
8Q7K2irC,Median,1542,486,0.862,0.577,0.284,0.406,0.557,0.796
6mT78jmg,Mean,1532,481,0.857,0.575,0.239,0.363,0.468,0.711
6mT78jmg,Median,1527,486,0.854,0.573,0.261,0.361,0.511,0.707
H85v6HMy,Mean,1538,483,0.861,0.578,0.249,0.389,0.487,0.761
H85v6HMy,Median,1537,482,0.860,0.579,0.240,0.397,0.470,0.778
GqDCbnaf,Mean,1508,443,0.844,0.557,0.256,0.400,0.501,0.783
GqDCbnaf,Median,1528,466,0.855,0.570,0.256,0.403,0.502,0.789
8Ey5FDay,Mean,1536,482,0.859,0.577,0.260,0.391,0.509,0.765
8Ey5FDay,Median,1539,479,0.861,0.576,0.263,0.404,0.515,0.792
94nRfNEu,Mean,1535,492,0.859,0.579,0.273,0.390,0.534,0.763
94nRfNEu,Median,1539,497,0.861,0.582,0.286,0.410,0.561,0.804
4zpHgrb1,Mean,1525,492,0.853,0.577,0.216,0.369,0.424,0.723
4zpHgrb1,Median,1526,484,0.853,0.568,0.222,0.401,0.435,0.785
4Kbcyn7J,Mean,1523,496,0.852,0.577,0.248,0.358,0.485,0.701
4Kbcyn7J,Median,1528,498,0.855,0.578,0.260,0.395,0.510,0.773
Ch2UBdfw,Mean,1534,478,0.858,0.575,0.260,0.370,0.508,0.725
Ch2UBdfw,Median,1535,480,0.859,0.577,0.277,0.406,0.543,0.795
FUyx2W6w,Mean,1499,442,0.839,0.555,0.212,0.314,0.415,0.616
FUyx2W6w,Median,1534,480,0.858,0.575,0.192,0.319,0.376,0.624
A27mmHqi,Mean,1537,480,0.860,0.576,0.260,0.386,0.509,0.755
A27mmHqi,Median,1545,480,0.864,0.578,0.259,0.395,0.507,0.773
FoCQPE5Q,Mean,1525,501,0.853,0.579,0.257,0.385,0.503,0.755
FoCQPE5Q,Median,1528,501,0.855,0.578,0.290,0.400,0.569,0.782
FXrzBb4K,Mean,1535,482,0.859,0.576,0.261,0.372,0.510,0.729
FXrzBb4K,Median,1539,485,0.861,0.576,0.274,0.387,0.536,0.758
HCbyyxXV,Mean,1535,504,0.859,0.583,0.279,0.394,0.546,0.772
HCbyyxXV,Median,1535,507,0.859,0.584,0.282,0.403,0.553,0.789
317qtuGJ,Mean,1531,486,0.856,0.576,0.257,0.385,0.504,0.754
317qtuGJ,Median,1530,493,0.856,0.577,0.270,0.390,0.528,0.765
7e5JAoLe,Mean,1534,492,0.858,0.579,0.266,0.382,0.521,0.747
7e5JAoLe,Median,1538,491,0.860,0.580,0.270,0.411,0.530,0.804
7ek3CDbx,Mean,1535,506,0.859,0.583,0.254,0.374,0.498,0.733
7ek3CDbx,Median,1533,516,0.858,0.586,0.260,0.390,0.510,0.763
2PawEGWY,Mean,1536,506,0.859,0.584,0.270,0.393,0.529,0.769
2PawEGWY,Median,1537,509,0.860,0.583,0.274,0.404,0.537,0.792
6kEtLATd,Mean,1536,489,0.859,0.579,0.231,0.374,0.452,0.732
6kEtLATd,Median,1538,495,0.860,0.580,0.253,0.404,0.496,0.790
GbHe682z,Mean,1534,474,0.858,0.574,0.256,0.378,0.502,0.740
GbHe682z,Median,1537,480,0.860,0.576,0.268,0.406,0.525,0.794
BP1epAhF,Mean,1531,488,0.856,0.577,0.274,0.378,0.536,0.739
BP1epAhF,Median,1533,487,0.857,0.579,0.297,0.390,0.581,0.764
9g7ZUCQS,Mean,1529,489,0.856,0.577,0.261,0.370,0.510,0.724
9g7ZUCQS,Median,1529,482,0.855,0.576,0.293,0.410,0.573,0.802
HypKQcad,Mean,1534,488,0.858,0.578,0.247,0.393,0.484,0.770
HypKQcad,Median,1533,497,0.858,0.582,0.275,0.405,0.538,0.794
G3x5eb53,Mean,1529,483,0.855,0.575,0.286,0.395,0.559,0.773
G3x5eb53,Median,1533,493,0.858,0.579,0.306,0.408,0.599,0.799
9WuDnZMu,Mean,1534,490,0.858,0.579,0.259,0.391,0.506,0.765
9WuDnZMu,Median,1540,486,0.862,0.578,0.269,0.410,0.526,0.803
3TPg9z2U,Mean,1535,472,0.859,0.574,0.215,0.355,0.420,0.696
3TPg9z2U,Median,1538,468,0.860,0.576,0.231,0.364,0.452,0.713
Cj9UuXrk,Mean,1534,496,0.858,0.580,0.249,0.394,0.488,0.771
Cj9UuXrk,Median,1539,502,0.861,0.581,0.245,0.406,0.480,0.795
EUVBn58X,Mean,1527,485,0.854,0.575,0.186,0.329,0.364,0.643
EUVBn58X,Median,1527,481,0.854,0.575,0.215,0.340,0.421,0.667
5DbifLTe,Mean,1533,504,0.858,0.582,0.250,0.358,0.490,0.700
