origin,AggregateType,staked_length,unstaked_length,staked_coverage,overall_coverage,fully_connected_coverage,possible_peak_connected_coverage,staked_fully_connected_coverage,staked_possible_peak_connected_coverage
EkvdKhUL,Median,1535,494,0.859,0.582,0.247,0.389,0.483,0.762
A4hyMd3F,Mean,1538,492,0.861,0.580,0.232,0.385,0.454,0.754
A4hyMd3F,Median,1539,488,0.861,0.580,0.215,0.402,0.421,0.788
BtsmiEEv,Mean,1543,501,0.863,0.584,0.260,0.395,0.508,0.774
BtsmiEEv,Median,1540,509,0.862,0.584,0.276,0.404,0.540,0.791
XkCriyrN,Mean,1534,497,0.858,0.580,0.208,0.365,0.407,0.715
XkCriyrN,Median,1538,495,0.860,0.580,0.193,0.402,0.378,0.786
Hz5aLvpK,Mean,1538,498,0.861,0.582,0.233,0.403,0.455,0.790
Hz5aLvpK,Median,1541,504,0.862,0.582,0.234,0.415,0.459,0.813
524nvr3J,Mean,1540,500,0.862,0.583,0.219,0.390,0.430,0.764
524nvr3J,Median,1539,505,0.861,0.584,0.193,0.407,0.378,0.796
Ninja1sp,Mean,1537,497,0.860,0.581,0.262,0.379,0.514,0.741
Ninja1sp,Median,1539,502,0.861,0.582,0.290,0.407,0.568,0.797
5pPRHnie,Mean,1535,486,0.859,0.577,0.206,0.364,0.403,0.712
5pPRHnie,Median,1537,483,0.860,0.576,0.223,0.393,0.437,0.769
5EhGYUyQ,Mean,1535,507,0.859,0.584,0.195,0.368,0.383,0.721
5EhGYUyQ,Median,1541,512,0.862,0.583,0.215,0.407,0.422,0.797
VymDdiep,Mean,1536,473,0.859,0.574,0.268,0.412,0.524,0.807
VymDdiep,Median,1537,452,0.860,0.570,0.243,0.420,0.475,0.822
6TkKqq15,Mean,1544,492,0.864,0.582,0.246,0.385,0.481,0.754
6TkKqq15,Median,1543,491,0.863,0.581,0.257,0.404,0.503,0.791
Certusm1,Mean,1543,496,0.863,0.583,0.237,0.407,0.463,0.796
Certusm1,Median,1543,499,0.863,0.584,0.221,0.412,0.433,0.808
krakeNd6,Mean,1538,490,0.860,0.579,0.236,0.404,0.461,0.791
krakeNd6,Median,1542,497,0.862,0.584,0.228,0.414,0.447,0.812
722RdWmH,Mean,1532,494,0.857,0.579,0.221,0.360,0.433,0.704
722RdWmH,Median,1535,501,0.859,0.580,0.229,0.385,0.448,0.754
7y5VhV4f,Mean,1542,479,0.863,0.577,0.228,0.381,0.447,0.746
7y5VhV4f,Median,1541,477,0.862,0.579,0.234,0.390,0.458,0.763
FzQqaDSt,Mean,1494,469,0.836,0.561,0.164,0.290,0.322,0.568
FzQqaDSt,Median,1498,467,0.838,0.562,0.170,0.309,0.332,0.605
BUv44cVt,Mean,1536,485,0.860,0.578,0.202,0.371,0.395,0.727
BUv44cVt,Median,1537,484,0.860,0.578,0.204,0.405,0.400,0.793
EgxVyTgh,Mean,1537,496,0.860,0.581,0.231,0.377,0.452,0.737
EgxVyTgh,Median,1543,498,0.863,0.584,0.253,0.405,0.496,0.794
HbidP4hp,Mean,1531,493,0.857,0.579,0.199,0.351,0.389,0.688
HbidP4hp,Median,1535,500,0.859,0.577,0.229,0.407,0.447,0.798
6y7V8dL6,Mean,1540,492,0.861,0.581,0.210,0.389,0.411,0.761
6y7V8dL6,Median,1543,494,0.863,0.582,0.236,0.398,0.462,0.780
6WgdYhhG,Mean,1537,482,0.860,0.577,0.217,0.396,0.425,0.775
6WgdYhhG,Median,1537,487,0.860,0.580,0.183,0.412,0.359,0.806
G2TBEh2a,Mean,1539,494,0.861,0.581,0.214,0.389,0.420,0.762
G2TBEh2a,Median,1539,493,0.861,0.582,0.227,0.413,0.444,0.808
3JotfSFP,Mean,1537,508,0.860,0.585,0.225,0.376,0.440,0.737
3JotfSFP,Median,1541,508,0.862,0.584,0.245,0.393,0.480,0.770
GSTampk6,Mean,1538,490,0.861,0.580,0.229,0.397,0.449,0.777
GSTampk6,Median,1540,493,0.861,0.582,0.237,0.418,0.463,0.819
5ejbTALc,Mean,1538,497,0.860,0.581,0.235,0.371,0.461,0.727
5ejbTALc,Median,1540,497,0.862,0.583,0.238,0.394,0.466,0.771
GQzMeEMw,Mean,1534,483,0.858,0.576,0.239,0.376,0.468,0.736
GQzMeEMw,Median,1538,485,0.860,0.578,0.260,0.405,0.508,0.794
BSVckjdW,Mean,1537,490,0.860,0.579,0.210,0.380,0.410,0.743
BSVckjdW,Median,1539,496,0.861,0.580,0.246,0.415,0.481,0.813
76rcGHdP,Mean,1532,481,0.857,0.575,0.246,0.371,0.482,0.727
76rcGHdP,Median,1539,476,0.861,0.574,0.266,0.398,0.521,0.779
3SkE34PV,Mean,1505,470,0.842,0.565,0.241,0.387,0.472,0.758
3SkE34PV,Median,1536,482,0.859,0.577,0.262,0.410,0.512,0.802
HpcB5Qg8,Mean,1536,493,0.859,0.580,0.246,0.395,0.481,0.773
HpcB5Qg8,Median,1540,491,0.861,0.580,0.256,0.409,0.501,0.801
DUND26mE,Mean,1540,485,0.861,0.579,0.241,0.398,0.471,0.779
DUND26mE,Median,1539,482,0.861,0.576,0.259,0.406,0.507,0.795
Aw5wEMXh,Mean,1536,503,0.859,0.583,0.237,0.381,0.463,0.745
Aw5wEMXh,Median,1537,504,0.860,0.580,0.256,0.401,0.502,0.786
2GUnfxZa,Mean,1541,492,0.862,0.581,0.226,0.386,0.443,0.755
2GUnfxZa,Median,1539,483,0.861,0.580,0.239,0.405,0.469,0.793
FbYX2uN5,Mean,1531,488,0.856,0.577,0.210,0.370,0.412,0.724
FbYX2uN5,Median,1536,493,0.859,0.581,0.230,0.404,0.450,0.791
22rU5yUm,Mean,1539,493,0.861,0.581,0.280,0.396,0.548,0.775
22rU5yUm,Median,1538,500,0.860,0.582,0.287,0.409,0.563,0.801
3hkPdLyQ,Mean,1541,492,0.862,0.581,0.233,0.393,0.457,0.770
3hkPdLyQ,Median,1543,495,0.863,0.582,0.243,0.414,0.475,0.810
HnfPZDrb,Mean,1537,490,0.860,0.579,0.209,0.363,0.409,0.711
HnfPZDrb,Median,1540,494,0.861,0.582,0.224,0.388,0.439,0.761
DDnAqxJV,Mean,1539,483,0.861,0.578,0.226,0.389,0.442,0.762
DDnAqxJV,Median,1542,484,0.862,0.578,0.250,0.406,0.490,0.795
6aDs9tUm,Mean,1533,493,0.858,0.579,0.230,0.394,0.449,0.772
6aDs9tUm,Median,1535,497,0.859,0.580,0.253,0.402,0.496,0.787
AEHqTB2R,Mean,1531,497,0.856,0.579,0.216,0.392,0.423,0.768
AEHqTB2R,Median,1536,499,0.859,0.581,0.223,0.400,0.437,0.783
GGX3BEoZ,Mean,1534,493,0.858,0.579,0.230,0.384,0.451,0.751
GGX3BEoZ,Median,1538,489,0.860,0.578,0.236,0.401,0.462,0.785
GoeW4aFK,Mean,1537,494,0.860,0.580,0.241,0.402,0.471,0.786
GoeW4aFK,Median,1541,492,0.862,0.580,0.239,0.412,0.468,0.806
7QQGNm3p,Mean,1534,486,0.858,0.577,0.264,0.388,0.516,0.760
7QQGNm3p,Median,1535,482,0.859,0.578,0.274,0.408,0.537,0.799
Cogent51,Mean,1539,492,0.861,0.580,0.245,0.386,0.480,0.756
Cogent51,Median,1540,493,0.861,0.579,0.244,0.404,0.478,0.791
RBFiUqjY,Mean,1538,481,0.860,0.577,0.221,0.373,0.432,0.731
RBFiUqjY,Median,1537,484,0.860,0.578,0.235,0.405,0.460,0.793
5Cchr1XG,Mean,1531,488,0.857,0.577,0.259,0.381,0.506,0.747
5Cchr1XG,Median,1539,498,0.861,0.581,0.257,0.401,0.503,0.785
6JKwz43w,Mean,1539,494,0.861,0.581,0.211,0.385,0.412,0.754
6JKwz43w,Median,1538,502,0.860,0.583,0.205,0.396,0.402,0.775
vu1sGn2f,Mean,1545,503,0.864,0.585,0.241,0.407,0.471,0.796
vu1sGn2f,Median,1543,510,0.863,0.587,0.233,0.407,0.455,0.796
GYx8kpp7,Mean,1535,486,0.859,0.578,0.237,0.381,0.463,0.747
GYx8kpp7,Median,1540,478,0.861,0.576,0.230,0.397,0.451,0.777
HzrEstnL,Mean,1539,490,0.861,0.580,0.275,0.397,0.538,0.777
HzrEstnL,Median,1542,494,0.862,0.581,0.269,0.403,0.528,0.789
CMPSSdrT,Mean,1534,481,0.858,0.576,0.218,0.373,0.426,0.731
CMPSSdrT,Median,1537,483,0.860,0.577,0.203,0.402,0.397,0.788
3fpcsJ2W,Mean,1536,500,0.860,0.582,0.210,0.398,0.410,0.779
3fpcsJ2W,Median,1539,495,0.861,0.584,0.191,0.399,0.375,0.782
Chorusmm,Mean,1538,489,0.860,0.579,0.223,0.406,0.437,0.794
Chorusmm,Median,1538,492,0.860,0.581,0.229,0.420,0.447,0.822
7PdKhpKz,Mean,1542,495,0.863,0.582,0.252,0.409,0.494,0.801
7PdKhpKz,Median,1542,487,0.862,0.580,0.278,0.407,0.544,0.798
